source,source_label,season,season_label,case,case_label,aperture_diameter_mm,aperture_area_m2,mean_irradiance_kw_m2,power_w,cell_count,center_x_mm,center_y_mm,center_source
simulation,Simulated,01,Winter,SEC,With secondary,4.78978933305628,1.2068076981936939e-05,357.674407826985,4.316442288124763,13409,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,4.662268589906884,1.1414678228197941e-05,377.8794279038446,4.313372078577909,12683,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,4.538142889587691,1.0824279354296036e-05,398.1681242920966,4.3098830073137195,12027,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,4.417321844327004,1.0257280435762196e-05,419.786295794305,4.305865759052007,11397,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,4.299717472787931,9.710081479462871e-06,442.96972912631884,4.301272162752153,10789,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,4.1852441360008,9.197082457932252e-06,467.1032498121044,4.295987104890052,10219,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,4.073818475001232,8.720083367737116e-06,491.9985258204476,4.290268161958065,9689,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.965359350128529,8.27728421231069e-06,517.5539848215514,4.283941427581913,9197,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.8597877819401383,7.839885046584583e-06,545.452320447757,4.276283490703231,8711,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.7570268936991726,7.415085856825896e-06,575.4935598784293,4.267334156548928,8239,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.657001855393139,7.020886608702369e-06,606.3648883742493,4.257219124774074,7801,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.5596398292430487,6.675287267881742e-06,636.2105110597644,4.246887924169782,7417,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.4648699166632815,6.317087951093696e-06,670.3364193999935,4.23457411817099,7019,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.3726231066335477,5.982288589673714e-06,705.6584191593718,4.221452309144301,6647,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.2828322254453957,5.660089204221151e-06,743.2442408912137,4.206828703967903,6289,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.195431887786607,5.364889767270198e-06,781.3841963639308,4.192040079379499,5961,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.110358449127914,5.089490292553761e-06,820.5369361122624,4.176114771025166,5655,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,3.0275499593773447,4.819490807537647e-06,862.7246486158526,4.157893513440248,5355,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.9469461177684333,4.567491288189273e-06,905.9903169916103,4.138102880043018,5075,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.8684882289494964,4.310091779140577e-06,954.5869820674658,4.114357503883598,4789,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.792119160241932,4.088692201427363e-06,1000.1933502718811,4.089482751176147,4543,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.7177833000364644,3.89429257221576e-06,1043.961627077255,4.065492010005233,4327,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.645426517297019,3.6710929979357726e-06,1098.526910178276,4.032794447999488,4079,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.574996122142756,3.478493365290944e-06,1149.8746031755334,3.9998311780626508,3865,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.5064408274795285,3.294893715479986e-06,1203.0653637709986,3.963972506400706,3661,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.4397107116528636,3.1274940347699947e-06,1254.4059876618708,3.923147243592264,3475,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.3747571820952285,2.9726943300274226e-06,1305.840402919694,3.8818643616801,3303,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.3115329399411566,2.81789462528485e-06,1360.3689487783456,3.8333763491669015,3131,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.2499919455844135,2.6720949033761483e-06,1414.4180565899712,3.779459280257259,2969,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,2.1900893851521785,2.5136952055000277e-06,1475.9807422854008,3.710165715293184,2793,-0.04499999999999993,-0.1049999499320986,encircled aperture center
